Invoice_id,Branch,City,Category,Unit_price,Quantity,Date,Time,Payment_method,Rating,Profit_margin,Total Sales
196,WALM066,Grapevine,Fashion accessories,74.29,1,2019-04-30,19:30:00,Cash,5,33%,74.29
433,WALM062,Galveston,Electronic accessories,23.46,6,2019-05-01,19:14:00,Ewallet,6.4,33%,140.76
528,WALM013,Irving,Fashion accessories,59.86,2,2019-05-02,14:55:00,Ewallet,6.7,48%,119.72
574,WALM063,Georgetown,Food and beverages,72.39,2,2019-05-03,19:55:00,Credit card,8.1,33%,144.78
617,WALM068,Burleson,Sports and travel,72.6,6,2019-05-04,19:51:00,Cash,6.9,33%,435.6
886,WALM015,Grand Prairie,Sports and travel,45.58,7,2019-05-05,10:03:00,Cash,5,48%,319.06
928,WALM071,Lufkin,Health and beauty,39.62,9,2019-05-06,17:54:00,Credit card,6.8,33%,356.58
954,WALM066,Grapevine,Food and beverages,21.04,4,2019-05-07,13:58:00,Cash,7.6,33%,84.16
968,WALM049,North Richland Hills,Home and lifestyle,81.01,3,2019-05-08,12:55:00,Credit card,9.3,48%,243.03
203,WALM086,Rosenberg,Electronic accessories,61.41,7,2019-05-09,10:02:00,Cash,9.8,33%,429.87
250,WALM026,Denton,Food and beverages,73.06,7,2019-05-10,19:06:00,Credit card,4.2,48%,511.42
376,WALM009,Plano,Fashion accessories,96.7,5,2019-05-11,12:52:00,Ewallet,7,48%,483.5
383,WALM061,Cedar Park,Food and beverages,99.69,5,2019-05-12,12:09:00,Cash,9.9,33%,498.45
578,WALM027,Abilene,Food and beverages,31.77,4,2019-05-13,14:43:00,Ewallet,6.2,48%,127.08
584,WALM001,Houston,Fashion accessories,18.08,4,2019-05-14,18:03:00,Credit card,9.5,36%,72.32
671,WALM057,Euless,Fashion accessories,56.04,10,2019-05-15,19:30:00,Ewallet,4.4,33%,560.4
682,WALM100,Canyon,Sports and travel,34.81,1,2019-05-16,10:11:00,Credit card,7,18%,34.81
742,WALM076,Huntsville,Food and beverages,84.83,1,2019-05-17,15:20:00,Ewallet,8.8,33%,84.83
789,WALM017,McKinney,Health and beauty,60.47,3,2019-05-18,10:55:00,Credit card,5.6,48%,181.41
809,WALM040,Edinburg,Health and beauty,17.75,1,2019-05-19,10:38:00,Cash,8.6,48%,17.75
853,WALM030,Richardson,Health and beauty,53.19,7,2019-05-20,15:42:00,Ewallet,5,48%,372.33
901,WALM039,Longview,Electronic accessories,44.84,9,2019-05-21,14:00:00,Credit card,7.5,48%,403.56
16,WALM008,Corpus Christi,Sports and travel,93.72,6,2019-05-22,16:19:00,Cash,4.5,48%,562.32
38,WALM070,Hurst,Electronic accessories,60.88,9,2019-05-23,17:17:00,Ewallet,4.7,33%,547.92
192,WALM062,Galveston,Fashion accessories,73.52,2,2019-05-24,13:41:00,Ewallet,4.6,33%,147.04
441,WALM097,Alice,Food and beverages,17.44,5,2019-05-25,19:25:00,Cash,8.1,18%,87.2
443,WALM029,Round Rock,Home and lifestyle,89.21,9,2019-05-26,15:42:00,Credit card,6.5,48%,802.89
445,WALM069,Rockwall,Sports and travel,19.1,7,2019-05-27,10:43:00,Cash,9.7,33%,133.7
633,WALM020,Killeen,Food and beverages,83.77,2,2019-05-28,10:54:00,Credit card,7,48%,167.54
636,WALM003,San Antonio,Health and beauty,66.47,10,2019-05-29,15:01:00,Credit card,5,48%,664.7
651,WALM088,Cleburne,Electronic accessories,75.66,5,2019-05-30,18:22:00,Ewallet,7.8,33%,378.3
750,WALM005,Fort Worth,Health and beauty,81.23,7,2019-05-31,20:44:00,Cash,9,48%,568.61
770,WALM020,Killeen,Home and lifestyle,11.43,6,2019-06-01,17:24:00,Cash,7.7,48%,68.58
793,WALM008,Corpus Christi,Home and lifestyle,97.37,10,2019-06-02,13:48:00,Credit card,4.9,48%,973.7
839,WALM076,Huntsville,Electronic accessories,55.87,10,2019-06-03,15:01:00,Cash,5.8,33%,558.7
118,WALM071,Lufkin,Fashion accessories,51.36,1,2019-06-04,15:26:00,Ewallet,5.2,33%,51.36
167,WALM061,Cedar Park,Home and lifestyle,95.58,10,2019-06-05,13:32:00,Cash,4.8,33%,955.8
212,WALM057,Euless,Food and beverages,93.26,9,2019-06-06,18:08:00,Cash,8.8,33%,839.34
511,WALM057,Euless,Sports and travel,90.74,7,2019-06-07,18:03:00,Credit card,6.2,33%,635.18
527,WALM095,Big Spring,Fashion accessories,39.21,4,2019-06-08,20:03:00,Credit card,9,33%,156.84
649,WALM055,Waxahachie,Sports and travel,15.49,2,2019-06-09,15:10:00,Cash,6.3,33%,30.98
662,WALM097,Alice,Sports and travel,17.14,7,2019-06-10,12:07:00,Credit card,7.9,18%,119.98
688,WALM089,Southlake,Home and lifestyle,63.56,10,2019-06-11,17:59:00,Cash,4.3,33%,635.6
695,WALM009,Plano,Food and beverages,52.6,9,2019-06-12,14:42:00,Cash,7.6,48%,473.4
807,WALM080,Nacogdoches,Sports and travel,93.18,2,2019-06-13,18:41:00,Credit card,8.5,33%,186.36
41,WALM033,Pearland,Home and lifestyle,86.72,1,2019-06-14,18:45:00,Ewallet,7.9,48%,86.72
325,WALM086,Rosenberg,Home and lifestyle,21.52,6,2019-06-15,12:48:00,Credit card,9.4,33%,129.12
520,WALM033,Pearland,Sports and travel,71.92,5,2019-06-16,15:05:00,Credit card,4.3,48%,359.6
566,WALM049,North Richland Hills,Food and beverages,81.21,10,2019-06-17,13:01:00,Credit card,6.3,48%,812.1
610,WALM029,Round Rock,Food and beverages,57.89,2,2019-06-18,10:37:00,Ewallet,8.9,48%,115.78
623,WALM017,McKinney,Home and lifestyle,94.59,7,2019-06-19,15:27:00,Credit card,4.9,48%,662.13
670,WALM046,Temple,Sports and travel,40.62,2,2019-06-20,10:01:00,Credit card,4.1,48%,81.24
710,WALM040,Edinburg,Sports and travel,25.7,3,2019-06-21,17:59:00,Ewallet,6.1,48%,77.1
775,WALM052,Mansfield,Food and beverages,65.65,2,2019-06-22,16:46:00,Cash,6,57%,131.3
790,WALM089,Southlake,Sports and travel,58.91,7,2019-06-23,15:15:00,Ewallet,9.7,33%,412.37
868,WALM053,Conroe,Health and beauty,62.82,2,2019-06-24,12:36:00,Ewallet,4.9,57%,125.64
137,WALM027,Abilene,Electronic accessories,26.31,5,2019-06-25,20:59:00,Credit card,8.8,48%,131.55
175,WALM071,Lufkin,Food and beverages,19.79,8,2019-06-26,12:04:00,Ewallet,8.7,33%,158.32
322,WALM016,Brownsville,Health and beauty,39.42,1,2019-06-27,15:08:00,Cash,8.4,48%,39.42
646,WALM098,Mineral Wells,Home and lifestyle,19.36,9,2019-06-28,18:43:00,Ewallet,8.7,18%,174.24
658,WALM054,Sherman,Fashion accessories,88.15,3,2019-06-29,10:11:00,Ewallet,7.9,21%,264.45
720,WALM056,Rowlett,Fashion accessories,17.48,6,2019-06-30,15:04:00,Credit card,6.1,33%,104.88
722,WALM018,Frisco,Sports and travel,90.63,9,2019-07-01,15:28:00,Cash,5.1,48%,815.67
874,WALM059,Pflugerville,Sports and travel,89.06,6,2019-07-02,17:26:00,Cash,9.9,33%,534.36
897,WALM060,DeSoto,Fashion accessories,60.74,7,2019-07-03,16:23:00,Ewallet,5,33%,425.18
114,WALM024,Carrollton,Home and lifestyle,58.07,9,2019-07-04,20:07:00,Ewallet,4.3,48%,522.63
161,WALM028,Odessa,Food and beverages,43.18,8,2019-07-05,19:39:00,Credit card,8.3,48%,345.44
169,WALM069,Rockwall,Food and beverages,51.28,6,2019-07-06,16:31:00,Cash,6.5,33%,307.68
174,WALM047,Flower Mound,Electronic accessories,52.89,6,2019-07-07,17:34:00,Credit card,9.8,48%,317.34
300,WALM017,McKinney,Home and lifestyle,88.61,1,2019-07-08,10:21:00,Cash,7.7,48%,88.61
406,WALM095,Big Spring,Sports and travel,67.26,4,2019-07-09,15:28:00,Credit card,8,33%,269.04
585,WALM088,Cleburne,Sports and travel,63.06,3,2019-07-10,15:58:00,Ewallet,7,33%,189.18
614,WALM045,Missouri City,Sports and travel,80.93,1,2019-07-11,16:08:00,Credit card,9,48%,80.93
631,WALM006,El Paso,Sports and travel,64.19,10,2019-07-12,14:08:00,Credit card,6.7,48%,641.9
718,WALM040,Edinburg,Electronic accessories,11.94,3,2019-07-13,12:47:00,Credit card,8.1,48%,35.82
818,WALM078,Del Rio,Food and beverages,33.88,8,2019-07-14,20:29:00,Ewallet,9.6,33%,271.04
850,WALM033,Pearland,Fashion accessories,99.1,6,2019-07-15,13:11:00,Cash,4.2,48%,594.6
880,WALM013,Irving,Electronic accessories,12.1,8,2019-07-16,10:17:00,Ewallet,8.6,48%,96.8
912,WALM002,Dallas,Electronic accessories,56.13,4,2019-07-17,11:43:00,Ewallet,8.6,36%,224.52
943,WALM082,Weslaco,Home and lifestyle,45.68,10,2019-07-18,19:30:00,Cash,5.7,33%,456.8
981,WALM072,Lancaster,Food and beverages,59.59,4,2019-07-19,12:46:00,Cash,9.8,33%,238.36
59,WALM066,Grapevine,Home and lifestyle,72.35,10,2019-07-20,15:55:00,Cash,5.4,33%,723.5
120,WALM071,Lufkin,Home and lifestyle,53.44,2,2019-07-21,20:38:00,Ewallet,4.1,33%,106.88
236,WALM084,Schertz,Sports and travel,93.14,2,2019-07-22,18:09:00,Ewallet,4.1,33%,186.28
348,WALM066,Grapevine,Home and lifestyle,89.25,8,2019-07-23,10:13:00,Cash,4.7,33%,714
437,WALM009,Plano,Sports and travel,82.93,4,2019-07-24,16:51:00,Ewallet,9.6,48%,331.72
556,WALM014,Amarillo,Home and lifestyle,37.48,3,2019-07-25,13:45:00,Credit card,7.7,48%,112.44
709,WALM048,Harlingen,Fashion accessories,15.62,8,2019-07-26,20:37:00,Ewallet,9.1,48%,124.96
763,WALM071,Lufkin,Fashion accessories,63.88,8,2019-07-27,17:48:00,Ewallet,9.9,33%,511.04
765,WALM004,Austin,Health and beauty,55.5,4,2019-07-28,15:48:00,Credit card,6.6,48%,222
934,WALM013,Irving,Health and beauty,64.08,7,2019-07-29,12:27:00,Ewallet,7.6,48%,448.56
19,WALM053,Conroe,Food and beverages,54.67,3,2019-07-30,18:00:00,Credit card,8.6,57%,164.01
81,WALM061,Cedar Park,Health and beauty,99.19,6,2019-07-31,14:42:00,Credit card,5.5,33%,595.14
145,WALM045,Missouri City,Home and lifestyle,77.95,6,2019-08-01,16:37:00,Credit card,8,48%,467.7
294,WALM015,Grand Prairie,Food and beverages,36.36,2,2019-08-02,10:00:00,Cash,7.1,48%,72.72
364,WALM089,Southlake,Home and lifestyle,73.22,6,2019-08-03,17:44:00,Cash,7.2,33%,439.32
427,WALM100,Canyon,Health and beauty,53.17,7,2019-08-04,18:01:00,Cash,8.9,18%,372.19
499,WALM073,Seguin,Sports and travel,98.13,1,2019-08-05,17:36:00,Cash,8.9,33%,98.13
708,WALM069,Rockwall,Food and beverages,68.98,1,2019-08-06,20:13:00,Cash,4.8,33%,68.98
75,WALM072,Lancaster,Home and lifestyle,74.67,9,2019-08-07,10:55:00,Ewallet,9.4,33%,672.03
80,WALM071,Lufkin,Health and beauty,20.38,5,2019-08-08,18:56:00,Cash,6,33%,101.9
418,WALM053,Conroe,Health and beauty,81.51,1,2019-08-09,10:57:00,Ewallet,9.2,57%,81.51
518,WALM089,Southlake,Home and lifestyle,39.39,5,2019-08-10,20:46:00,Credit card,8.7,33%,196.95
541,WALM042,Bryan,Home and lifestyle,30.68,3,2019-08-11,11:00:00,Ewallet,9.1,48%,92.04
652,WALM060,DeSoto,Health and beauty,55.81,6,2019-08-12,11:52:00,Cash,9.9,33%,334.86
776,WALM053,Conroe,Food and beverages,28.86,5,2019-08-13,18:08:00,Credit card,8,57%,144.3
83,WALM061,Cedar Park,Food and beverages,19.25,8,2019-08-14,18:37:00,Ewallet,6.6,33%,154
91,WALM095,Big Spring,Home and lifestyle,47.38,4,2019-08-15,10:25:00,Cash,7.1,33%,189.52
141,WALM023,Midland,Sports and travel,89.8,10,2019-08-16,13:00:00,Credit card,5.4,48%,898
182,WALM028,Odessa,Food and beverages,38.47,8,2019-08-17,11:51:00,Cash,7.7,48%,307.76
248,WALM055,Waxahachie,Fashion accessories,17.94,5,2019-08-18,14:04:00,Ewallet,6.8,33%,89.7
422,WALM046,Temple,Electronic accessories,84.05,3,2019-08-19,13:29:00,Cash,9.8,48%,252.15
471,WALM016,Brownsville,Home and lifestyle,83.77,6,2019-08-20,12:10:00,Ewallet,5.4,48%,502.62
550,WALM037,League City,Electronic accessories,66.06,6,2019-08-21,10:28:00,Cash,7.3,48%,396.36
601,WALM080,Nacogdoches,Electronic accessories,83.08,1,2019-08-22,17:16:00,Ewallet,6.4,33%,83.08
609,WALM049,North Richland Hills,Fashion accessories,30.61,1,2019-08-23,12:20:00,Ewallet,5.2,48%,30.61
619,WALM030,Richardson,Food and beverages,98.53,6,2019-08-24,11:22:00,Credit card,4,48%,591.18
788,WALM025,Waco,Health and beauty,10.99,5,2019-08-25,10:18:00,Credit card,9.3,48%,54.95
817,WALM058,Port Arthur,Fashion accessories,45.44,7,2019-08-26,11:15:00,Cash,9.2,33%,318.08
855,WALM087,Waxahachie,Health and beauty,95.95,5,2019-08-27,14:21:00,Ewallet,8.8,33%,479.75
860,WALM097,Alice,Food and beverages,47.63,9,2019-08-28,12:35:00,Cash,5,18%,428.67
982,WALM023,Midland,Health and beauty,58.15,4,2019-08-29,17:44:00,Cash,8.4,48%,232.6
984,WALM065,Texas City,Health and beauty,99.96,7,2019-08-30,10:33:00,Cash,6.1,33%,699.72
69,WALM079,La Porte,Sports and travel,78.77,10,2019-08-31,10:04:00,Cash,6.4,33%,787.7
291,WALM017,McKinney,Electronic accessories,40.3,10,2019-09-01,17:37:00,Credit card,7,48%,403
396,WALM062,Galveston,Health and beauty,77.5,5,2019-09-02,20:36:00,Ewallet,4.3,33%,387.5
532,WALM082,Weslaco,Fashion accessories,86.68,8,2019-09-03,18:04:00,Cash,7.2,33%,693.44
613,WALM069,Rockwall,Fashion accessories,93.22,3,2019-09-04,11:45:00,Cash,7.2,33%,279.66
685,WALM063,Georgetown,Sports and travel,23.08,6,2019-09-05,19:20:00,Ewallet,4.9,33%,138.48
734,WALM052,Mansfield,Electronic accessories,75.88,7,2019-09-06,10:38:00,Ewallet,8.9,57%,531.16
754,WALM074,Weslaco,Home and lifestyle,73.28,5,2019-09-07,15:05:00,Cash,8.4,33%,366.4
797,WALM067,Haltom City,Home and lifestyle,60.87,1,2019-09-08,13:24:00,Cash,5.5,33%,60.87
815,WALM028,Odessa,Electronic accessories,48.62,8,2019-09-09,10:57:00,Cash,5,48%,388.96
831,WALM003,San Antonio,Electronic accessories,10.56,8,2019-09-10,17:43:00,Cash,7.6,48%,84.48
